Lecture;Ecouter musique;Cinema;Spectacle;Exposition;Ordinateur;Sport;Marche;Voyage;Jouer musique;Collection;Activite benevole;Bricolage;Jardinage;Tricot;Cuisine;Peche;TV;Sexe;Age;Situation matrimoniale;Profession;Nb activites
O;N;O;O;N;N;O;O;O;N;N;N;N;O;N;N;N;0;F;(25,35];Seul;employe;7
O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0;M;(35,45];Marie;agent de ma?trise;2
O;O;O;O;O;O;O;N;O;N;N;O;N;N;N;N;N;2;M;(25,35];Seul;technicien;10
N;N;N;N;N;N;O;N;N;O;N;N;N;N;N;N;N;0;F;(35,45];Seul;employe;2
O;O;O;O;O;N;O;N;N;N;N;N;N;N;O;N;N;1;F;(25,35];Seul;agent de ma?trise;8
O;N;N;N;O;N;N;O;N;N;N;N;N;N;N;N;N;0;F;(75,85];Veuf;employe;3
O;N;O;O;O;N;N;N;N;N;N;N;N;N;N;N;N;0;F;(65,75];Marie;employe;4
N;O;N;N;O;N;N;O;N;N;N;N;N;N;N;O;N;2;F;(75,85];Marie;agent de ma?trise;5
O;O;O;O;N;O;O;N;N;N;O;N;N;N;N;O;N;4;F;(25,35];Seul;employe;9
O;N;N;N;N;O;O;N;N;N;N;N;O;N;N;N;O;1;M;(25,35];Seul;manoeuvre;6
N;O;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;4;M;(65,75];Divorce;manoeuvre;3
O;N;N;N;N;N;N;O;O;N;N;N;N;N;N;N;N;4;F;(55,65];Marie;ouvrier;4
N;O;N;O;N;N;N;N;N;N;O;N;N;N;O;N;N;4;F;(25,35];Seul;ouvrier;5
O;O;N;O;O;O;N;O;N;N;N;N;O;O;N;N;N;4;M;(75,85];reMarie;NA;9
N;O;O;N;O;N;N;N;O;N;N;N;N;N;N;N;N;2;F;(35,45];Marie;cadre;5
O;O;O;O;O;O;O;N;O;O;N;O;O;N;N;O;N;2;M;(25,35];Seul;technicien;13
O;O;N;N;N;N;N;O;N;N;N;N;O;N;N;N;N;3;M;(45,55];Marie;ouvrier;5
N;O;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;2;M;(25,35];Marie;employe;3
N;O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;2;M;(25,35];Seul;manoeuvre;3
O;O;O;O;N;N;N;N;O;N;N;N;N;N;N;N;N;0;F;(55,65];Veuf;cadre;5
O;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;N;4;M;(65,75];Marie;ouvrier;3
O;O;O;O;O;N;O;O;N;N;N;N;O;N;N;O;N;2;M;(35,45];Seul;ouvrier;10
N;N;N;N;N;N;O;N;N;N;N;N;O;O;N;N;O;3;M;(55,65];Marie;technicien;5
N;N;N;N;N;N;O;O;N;O;N;O;O;N;N;N;O;4;M;(35,45];Seul;employe;7
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;M;(65,75];Marie;ouvrier;1
N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;1;M;(85,100];Veuf;manoeuvre;2
N;O;O;N;N;N;O;N;N;N;N;N;O;N;O;N;N;0;F;[15,25];Seul;manoeuvre;5
N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;O;N;4;F;(65,75];Marie;NA;3
O;N;N;N;N;N;N;O;O;N;N;N;N;O;O;N;N;4;F;(75,85];Veuf;NA;6
N;O;O;N;N;O;O;O;N;N;N;N;N;O;O;O;N;1;F;(35,45];Marie;ouvrier;9
O;O;O;N;N;O;N;N;N;O;N;O;O;O;O;N;N;4;F;(45,55];Marie;employe;10
O;O;N;O;O;N;N;N;N;N;N;N;N;O;N;N;N;2;M;(35,45];Seul;NA;6
N;N;N;O;N;N;N;O;N;N;N;N;N;O;O;N;N;3;F;(65,75];Veuf;NA;5
N;N;N;N;N;N;N;N;O;N;N;O;O;O;N;O;O;2;M;(45,55];Marie;technicien;7
O;O;N;N;O;O;N;N;O;N;N;N;O;N;N;O;N;2;M;(25,35];Marie;ouvrier;8
O;O;N;N;N;O;O;N;O;O;N;N;O;O;O;O;O;2;F;(25,35];Marie;employe;12
O;N;O;N;N;N;N;N;N;N;N;N;N;O;N;O;N;1;F;(35,45];Marie;NA;5
N;O;N;N;N;O;O;O;O;N;N;N;N;O;N;O;N;0;F;(65,75];Marie;employe;7
N;O;N;N;N;O;N;N;N;N;N;N;O;O;N;O;O;0;M;(45,55];Marie;ouvrier;6
N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;F;(55,65];Marie;employe;2
O;O;N;N;O;O;N;O;O;N;O;N;N;O;N;N;N;2;F;(45,55];Marie;employe;9
N;N;N;N;N;N;N;O;N;N;N;N;N;O;O;O;N;2;F;(65,75];Veuf;NA;5
O;O;N;N;N;N;N;N;O;O;N;N;N;O;N;N;N;0;M;(65,75];Veuf;cadre;5
O;O;O;O;O;O;O;O;O;O;N;N;O;O;N;O;N;2;F;(45,55];reMarie;cadre;14
N;O;N;N;N;O;O;N;N;N;N;N;N;O;N;N;O;1;M;(45,55];reMarie;cadre;6
O;N;N;N;N;N;N;O;N;N;N;N;N;O;N;N;O;4;M;(45,55];Marie;ouvrier;5
O;O;N;O;O;N;N;N;O;N;O;N;N;O;N;O;N;3;M;(55,65];Marie;NA;9
O;O;O;O;O;N;O;N;N;N;N;N;N;N;N;O;O;0;M;(25,35];Seul;agent de ma?trise;8
O;O;O;O;N;O;O;N;N;N;O;N;N;N;N;O;N;2;F;[15,25];Seul;cadre;9
O;O;N;N;N;O;O;O;N;N;N;N;O;O;N;N;N;2;M;(35,45];Marie;technicien;8
O;O;N;N;O;N;O;N;N;N;N;N;N;N;N;N;N;3;F;(45,55];Divorce;employe;5
O;N;O;N;N;O;N;N;N;N;N;N;O;O;N;O;N;2;F;(35,45];Marie;employe;7
O;O;O;O;O;O;O;N;O;N;N;O;N;N;N;N;O;2;M;(45,55];Divorce;cadre;11
O;N;N;N;N;N;N;O;N;N;N;N;N;N;N;O;N;2;F;(75,85];Marie;employe;4
O;O;N;O;N;N;O;O;N;N;N;N;O;N;N;O;N;3;F;(45,55];Marie;employe;8
O;N;N;N;N;O;N;N;N;N;N;N;O;O;N;N;O;4;M;(35,45];Divorce;NA;6
O;O;O;N;N;O;N;O;N;N;N;N;O;N;O;O;N;4;F;[15,25];Seul;employe;9
N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;F;(35,45];Marie;NA;2
O;O;O;N;N;N;N;N;N;N;N;N;N;O;N;N;N;2;M;(45,55];Marie;ouvrier;5
O;O;O;O;O;O;O;N;N;N;O;N;O;N;N;O;O;2;M;(35,45];Marie;employe;12
N;O;N;N;O;N;N;O;O;N;N;N;O;O;O;O;N;3;F;(65,75];Veuf;employe;9
O;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;2;F;(75,85];Marie;agent de ma?trise;3
N;O;N;O;N;O;O;N;N;O;N;N;O;N;N;N;N;0;M;[15,25];Seul;technicien;6
N;O;N;N;N;O;N;N;N;N;N;N;N;N;N;N;O;2;M;(35,45];Divorce;autre;4
N;N;N;N;N;N;O;O;N;N;N;N;N;N;N;N;N;2;F;(25,35];Marie;manoeuvre;3
O;O;N;N;N;N;O;N;N;N;N;N;N;N;N;O;N;3;F;(35,45];Marie;cadre;5
N;N;N;N;N;N;N;N;N;N;N;N;O;O;N;O;O;3;M;(35,45];Divorce;ouvrier;5
O;O;N;O;N;N;N;N;O;O;N;O;N;N;N;O;N;2;F;(55,65];Marie;NA;8
O;O;N;O;O;O;N;N;N;N;N;N;O;O;N;O;N;4;M;(25,35];Divorce;technicien;9
O;N;N;N;N;N;N;N;O;N;N;N;O;N;N;N;N;2;M;(65,75];Marie;NA;4
N;O;N;O;O;O;O;O;O;N;N;N;N;O;N;N;N;1;M;(45,55];Seul;technicien;9
O;O;O;O;O;O;N;O;O;N;N;N;N;N;N;O;N;4;F;(65,75];Marie;employe;10
O;O;N;N;O;N;N;N;N;N;N;N;O;O;O;O;N;4;F;(55,65];Marie;employe;8
O;O;O;O;O;N;N;O;O;O;O;O;O;O;N;O;N;0;F;(45,55];Marie;agent de ma?trise;13
O;O;O;O;N;O;O;O;O;N;N;N;O;N;N;O;N;3;M;(35,45];Divorce;cadre;11
O;O;N;N;N;N;N;N;N;N;N;N;O;N;N;N;N;1;F;(25,35];Marie;employe;4
O;N;N;O;O;N;N;O;N;N;N;N;N;N;O;O;N;0;F;(65,75];Marie;ouvrier;6
O;O;N;N;N;O;N;N;N;N;N;N;N;O;N;N;O;4;F;(35,45];Seul;employe;6
O;O;O;O;O;O;O;O;N;N;N;N;O;O;O;N;N;1;F;(35,45];Seul;ouvrier;12
O;N;N;N;N;N;N;O;N;N;N;O;N;O;O;O;N;1;F;(55,65];Marie;employe;7
O;N;N;N;O;N;N;O;N;O;O;N;O;N;N;N;N;4;M;(55,65];Divorce;ouvrier;7
O;N;N;N;N;N;N;O;N;N;N;O;N;N;O;O;N;1;F;(45,55];Marie;NA;6
O;O;O;N;N;N;O;N;N;N;N;N;N;O;N;O;N;2;F;(35,45];Divorce;agent de ma?trise;7
N;O;N;N;O;O;N;N;O;N;N;N;O;O;N;N;O;3;M;(45,55];Seul;ouvrier;8
N;N;N;N;N;N;O;N;N;O;N;O;N;N;N;O;O;4;M;(65,75];Marie;manoeuvre;6
N;N;N;N;N;N;N;N;N;N;O;N;O;N;N;N;N;0;M;(45,55];Marie;technicien;2
O;O;N;N;O;O;O;N;N;N;N;N;O;O;N;N;N;4;M;(35,45];Marie;cadre;8
N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;O;0;M;(45,55];Seul;NA;2
N;N;N;N;O;O;N;N;N;N;N;N;O;N;N;O;N;1;M;(25,35];Seul;ouvrier;5
O;O;O;O;N;O;O;O;N;N;N;N;O;O;N;O;N;1;F;[15,25];Seul;employe;11
N;N;N;N;N;N;N;O;N;N;N;N;N;O;O;N;N;4;F;(65,75];Veuf;NA;4
N;N;N;N;N;O;N;O;N;N;N;N;O;N;N;N;N;3;M;(35,45];Divorce;technicien;4
N;O;N;O;N;N;N;N;O;O;N;N;N;N;N;O;O;2;F;(45,55];Marie;technicien;7
N;O;O;O;N;O;N;N;N;N;N;O;O;O;N;O;N;2;F;(35,45];reMarie;employe;9
O;O;O;N;O;O;N;O;O;N;N;N;O;O;N;N;N;3;M;(35,45];Marie;ouvrier;10
O;O;N;N;N;N;N;O;O;N;N;N;N;N;N;N;N;4;F;(45,55];Divorce;manoeuvre;5
O;O;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;2;M;(65,75];reMarie;NA;4
N;O;N;N;N;N;O;N;N;N;N;N;N;N;N;O;N;3;M;(35,45];Divorce;manoeuvre;4
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;1;M;(55,65];Marie;manoeuvre;1
O;O;N;N;O;N;N;O;N;O;O;O;N;N;N;N;N;2;F;(55,65];Veuf;autre;8
O;N;N;O;O;O;N;N;O;N;O;O;O;N;N;N;N;4;M;(45,55];Marie;technicien;9
O;O;O;N;N;N;N;O;N;N;N;N;N;N;N;N;N;3;F;(25,35];Seul;employe;5
O;O;N;N;N;N;N;N;N;N;N;N;N;O;O;N;N;0;F;(65,75];Marie;employe;4
O;O;N;O;O;O;N;O;O;N;N;O;O;O;N;O;N;3;M;(45,55];Marie;agent de ma?trise;12
N;O;N;N;O;N;N;N;O;N;N;N;N;N;N;N;N;3;F;(35,45];Marie;employe;4
O;O;O;N;N;O;O;N;N;O;N;N;O;N;O;O;N;1;F;[15,25];Seul;NA;10
N;N;N;N;N;N;N;O;O;N;N;O;O;O;N;N;N;2;M;(65,75];Marie;ouvrier;6
O;N;N;N;N;O;N;O;O;N;N;N;O;O;N;N;N;2;M;(55,65];Veuf;NA;7
O;O;O;N;O;O;O;O;O;N;O;O;O;O;N;N;O;4;M;(25,35];Marie;employe;14
O;N;N;N;N;N;N;N;N;N;N;N;N;O;N;O;N;1;F;(45,55];Marie;employe;4
O;O;O;O;O;N;N;O;N;N;N;N;O;O;N;O;N;3;F;(35,45];Marie;employe;10
O;O;O;N;N;O;N;N;N;N;N;N;N;N;N;N;N;3;F;[15,25];Seul;employe;5
O;O;O;N;N;O;N;N;N;N;O;N;O;O;N;O;N;2;F;(35,45];reMarie;employe;9
N;N;N;N;N;O;N;N;N;N;N;N;O;O;N;N;N;2;M;(35,45];Marie;employe;4
O;O;O;N;N;O;N;O;N;N;N;N;O;O;N;O;N;0;F;(45,55];reMarie;employe;8
O;O;N;O;O;O;N;O;O;N;O;O;O;O;O;O;N;2;F;(75,85];Veuf;cadre;14
N;N;N;N;N;N;N;N;N;N;O;N;O;O;O;O;N;4;F;(45,55];Marie;employe;6
O;N;N;N;O;N;N;N;N;N;N;N;N;N;O;N;N;4;F;(55,65];Divorce;manoeuvre;4
O;N;N;O;O;N;N;N;N;N;N;N;N;N;N;N;N;1;M;(35,45];Seul;ouvrier;4
O;O;O;N;O;O;O;O;O;N;N;N;O;O;O;O;N;3;F;(35,45];Marie;cadre;13
O;N;N;N;N;N;N;N;N;N;N;N;N;O;N;O;N;4;F;(75,85];Marie;NA;4
O;O;N;N;N;O;N;N;N;N;N;N;N;O;N;O;N;1;F;(45,55];Divorce;employe;6
O;N;N;N;O;N;N;O;O;N;N;O;O;N;O;O;N;3;F;(55,65];Veuf;employe;9
N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;O;2;M;(45,55];Marie;agent de ma?trise;3
N;O;N;N;O;O;O;O;N;O;N;O;O;O;N;N;N;3;M;(45,55];Marie;ouvrier;10
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;M;(75,85];Marie;ouvrier;1
O;O;O;N;N;N;O;O;N;N;N;N;N;O;N;N;N;3;F;(35,45];Marie;ouvrier;7
N;N;N;N;N;N;N;N;N;N;N;N;O;O;N;N;O;2;M;(45,55];Marie;technicien;4
O;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;O;3;M;(65,75];Veuf;employe;4
O;N;O;O;N;O;O;N;O;O;N;N;N;N;N;O;N;4;F;(35,45];Seul;cadre;9
O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;3;F;(75,85];Divorce;ouvrier;2
N;O;O;N;N;O;O;N;O;N;N;O;O;O;N;O;N;3;M;[15,25];Seul;manoeuvre;10
N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;F;(45,55];Marie;employe;2
O;N;N;N;N;O;N;N;N;N;N;O;O;O;N;N;N;1;F;(35,45];Divorce;employe;6
O;O;N;O;O;N;N;O;N;N;N;N;N;N;N;N;N;0;F;(35,45];Seul;agent de ma?trise;5
O;O;O;O;O;O;N;O;O;N;N;N;N;O;N;N;N;4;M;(65,75];Marie;employe;10
O;O;N;N;N;N;O;N;O;N;N;N;O;O;N;N;N;3;M;(45,55];Marie;ouvrier;7
O;N;N;N;N;N;N;N;N;N;O;N;O;O;N;O;O;3;M;(65,75];Marie;ouvrier;7
O;O;N;N;N;O;N;N;N;N;O;N;O;N;N;N;N;4;F;(25,35];Seul;ouvrier;6
N;N;N;N;N;O;O;N;N;N;N;O;N;O;O;N;N;0;F;(35,45];Marie;ouvrier;5
O;O;N;N;N;O;N;N;N;N;N;N;N;O;N;O;N;3;M;(35,45];Marie;ouvrier;6
O;O;N;N;N;N;O;N;O;O;N;N;N;N;N;O;O;2;F;(55,65];Marie;employe;8
O;N;O;O;N;N;N;N;N;N;N;O;O;O;N;O;N;4;M;(35,45];Marie;ouvrier;8
O;N;N;N;O;O;N;N;O;N;N;N;N;N;N;O;N;3;F;(45,55];Marie;employe;6
O;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;4;F;(65,75];Veuf;employe;3
O;O;O;N;O;N;N;O;N;N;N;N;O;O;N;O;N;3;M;(45,55];Marie;technicien;9
O;O;N;N;O;N;O;O;O;N;N;N;N;O;N;O;O;1;F;(45,55];Marie;employe;10
O;O;O;O;O;N;O;O;O;O;N;N;N;N;O;O;N;2;F;(45,55];Marie;cadre;12
O;O;N;N;N;N;N;N;N;N;N;N;N;O;N;O;O;3;F;(35,45];Marie;manoeuvre;6
O;N;N;N;O;N;N;N;O;N;N;N;O;O;N;O;O;1;M;(55,65];Divorce;manoeuvre;8
N;O;O;N;N;O;N;N;N;N;O;N;O;O;N;N;N;3;M;(25,35];Marie;agent de ma?trise;7
O;N;N;N;N;N;N;N;N;N;N;N;O;O;N;N;O;4;M;(75,85];Veuf;NA;5
O;O;O;O;O;N;O;O;O;N;N;N;N;O;O;O;N;1;F;(45,55];Marie;employe;12
N;O;O;N;N;N;N;N;N;N;N;N;O;O;N;O;O;4;M;(35,45];Marie;manoeuvre;7
O;O;N;O;N;N;O;O;O;N;N;O;O;N;N;N;N;2;M;(55,65];reMarie;agent de ma?trise;9
N;O;N;N;N;O;O;O;O;N;N;N;O;O;N;N;N;1;M;(55,65];reMarie;cadre;8
N;O;N;N;N;N;N;N;N;N;O;N;O;N;N;N;O;0;M;(65,75];Marie;manoeuvre;4
O;O;N;O;O;O;N;O;O;N;N;N;O;O;N;O;N;3;F;(35,45];Marie;employe;11
N;O;O;N;O;O;N;O;N;O;N;N;O;O;N;O;N;2;M;(45,55];Marie;cadre;10
N;N;O;N;N;N;N;N;N;N;N;N;O;O;N;N;N;3;M;(55,65];Marie;agent de ma?trise;4
O;N;N;N;N;N;N;N;N;N;N;N;O;N;O;N;N;2;F;(55,65];Marie;employe;4
O;O;N;N;O;O;N;O;O;O;N;N;O;N;N;N;N;3;F;(55,65];Veuf;employe;9
O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;3;F;(65,75];Marie;employe;2
O;O;N;N;N;N;N;N;N;N;N;N;N;O;N;O;N;2;F;(55,65];Marie;manoeuvre;5
O;N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;4;F;(75,85];Veuf;employe;3
O;O;N;N;N;N;N;O;N;N;N;N;N;N;O;N;N;3;F;(65,75];Veuf;ouvrier;5
O;O;O;O;O;O;N;N;O;O;N;O;O;N;O;O;N;3;F;(35,45];Divorce;employe;13
N;N;O;N;N;N;N;O;O;N;N;N;O;O;N;N;O;2;M;(35,45];Divorce;cadre;7
N;O;N;N;N;N;O;N;N;N;N;N;N;O;N;N;N;0;M;(25,35];Seul;manoeuvre;3
O;O;O;N;O;O;O;O;N;N;N;N;N;O;O;O;N;2;F;(35,45];Marie;employe;11
N;O;N;N;N;O;N;N;N;N;N;N;O;O;N;O;N;4;M;(35,45];Marie;manoeuvre;6
O;N;N;N;O;N;N;N;N;N;O;N;O;O;N;O;O;0;M;(55,65];Marie;autre;7
O;O;N;N;N;O;N;O;O;N;N;N;N;N;N;N;N;2;M;(45,55];Marie;NA;6
O;O;N;N;O;N;N;O;N;N;N;N;N;O;O;O;N;3;F;(55,65];Marie;employe;8
O;O;N;O;O;N;N;O;O;O;N;N;O;O;N;O;N;3;F;(65,75];Seul;employe;11
N;O;O;N;N;O;N;N;N;N;N;O;N;N;N;N;N;0;F;(35,45];Marie;employe;4
N;N;N;N;N;O;N;N;N;N;N;N;O;O;N;O;N;2;M;(55,65];Veuf;cadre;5
N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;0;M;(75,85];reMarie;NA;1
O;N;N;N;N;O;O;O;N;N;N;N;O;O;O;N;N;3;F;(35,45];Marie;ouvrier;8
N;N;N;N;N;N;N;N;O;N;N;O;N;N;O;O;N;0;F;(45,55];Marie;manoeuvre;4
O;N;N;N;N;N;N;N;O;N;N;N;N;O;O;N;N;3;F;(55,65];Marie;manoeuvre;5
O;O;O;N;O;O;N;O;O;N;O;N;O;O;N;N;O;2;M;(25,35];Marie;cadre;12
O;O;O;O;N;O;O;N;O;N;N;N;N;N;N;O;N;2;F;[15,25];Seul;NA;9
O;O;N;N;N;N;O;O;N;O;N;O;O;O;N;O;N;1;F;(35,45];Marie;NA;10
O;O;N;N;N;O;N;N;N;N;N;N;N;N;N;O;N;4;F;[15,25];Seul;employe;5
O;O;O;N;N;N;O;O;N;N;N;N;N;O;N;O;N;4;F;(45,55];Marie;NA;8
N;N;N;N;N;N;N;O;O;N;N;O;N;O;O;N;N;2;F;(65,75];Divorce;NA;6
O;N;N;N;N;N;N;N;N;N;N;N;O;O;N;N;N;4;M;(75,85];Marie;NA;4
O;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;4;M;(65,75];Veuf;NA;3
N;O;O;N;O;N;N;O;O;O;N;N;N;N;N;N;N;4;F;[15,25];Seul;employe;7
O;O;O;N;N;N;N;O;N;N;N;N;N;N;N;O;N;4;F;(65,75];Marie;NA;6
O;N;N;N;N;N;O;N;N;N;N;N;O;O;N;N;N;4;M;(65,75];Seul;ouvrier;5
N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;N;3;M;(25,35];Seul;manoeuvre;2
N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;O;1;M;(25,35];Seul;manoeuvre;3
N;N;N;N;N;N;N;O;N;N;N;N;O;N;N;O;O;3;M;(35,45];Marie;ouvrier;5
N;O;N;N;N;O;N;O;N;N;N;N;O;O;N;O;N;3;F;(35,45];Marie;ouvrier;7
N;O;N;O;N;N;N;N;O;N;N;N;N;O;O;N;N;4;F;(55,65];Veuf;employe;6
O;O;N;N;N;N;N;O;N;N;N;N;N;O;N;O;N;0;F;(55,65];Marie;manoeuvre;5
N;N;N;N;N;N;O;N;N;N;N;N;O;N;N;N;N;3;M;(35,45];Marie;NA;3
O;O;N;N;N;N;N;N;N;N;N;N;N;O;N;N;O;1;M;(75,85];Marie;NA;5
O;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;N;0;M;(65,75];Marie;manoeuvre;2
O;O;N;N;N;N;N;O;N;N;N;N;N;O;N;N;N;2;M;(35,45];Marie;ouvrier;5
O;N;N;O;O;N;N;N;N;N;N;N;N;O;N;N;O;3;M;(65,75];Marie;NA;6
O;N;N;N;N;N;N;N;O;N;N;N;N;N;O;O;N;4;F;(65,75];Marie;autre;5
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0;F;(85,100];Veuf;NA;0
O;O;O;N;N;N;N;N;N;N;N;O;N;N;N;N;O;2;F;(45,55];Veuf;manoeuvre;6
N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;2;F;(25,35];Seul;employe;2
N;N;N;N;N;N;N;N;N;N;N;N;O;O;N;N;O;3;M;(45,55];Marie;ouvrier;4
N;O;N;N;N;N;N;O;N;N;N;N;O;N;N;O;N;2;M;(35,45];reMarie;ouvrier;5
O;O;N;N;O;N;O;O;O;N;N;N;O;O;N;N;N;2;M;(55,65];Marie;cadre;9
N;O;O;N;O;O;N;O;O;N;N;N;O;O;N;O;N;2;M;(45,55];Marie;cadre;10
O;N;N;O;N;O;N;N;O;N;N;N;O;O;N;O;N;2;M;(25,35];Marie;cadre;8
O;N;N;N;N;N;O;N;N;N;N;N;N;O;O;N;N;3;F;(85,100];Veuf;NA;5
O;O;N;N;N;N;N;N;N;O;N;N;N;N;N;N;N;3;F;(25,35];Marie;employe;4
N;O;N;N;N;O;N;N;N;N;N;N;O;N;N;N;N;4;M;(25,35];Seul;employe;4
N;N;O;N;O;O;N;N;O;N;N;N;N;N;N;N;O;3;M;(35,45];Marie;agent de ma?trise;6
O;O;O;O;O;O;O;O;O;O;N;N;N;N;N;N;N;4;M;(35,45];Divorce;NA;11
N;N;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;1;F;(55,65];Marie;employe;2
O;O;N;N;N;N;N;O;N;N;N;N;O;O;N;O;O;4;M;(35,45];Marie;ouvrier;8
O;O;N;O;N;N;O;N;N;N;N;O;O;N;N;O;N;4;M;(55,65];Seul;employe;8
N;O;N;N;O;N;N;N;N;O;N;O;N;N;N;N;N;1;F;(35,45];Seul;employe;5
O;O;N;O;N;O;N;O;N;N;N;O;N;O;N;N;N;3;M;(45,55];Marie;ouvrier;8
O;O;O;O;N;O;O;O;O;N;O;O;O;N;N;N;N;2;M;(55,65];Marie;cadre;12
N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;3;M;(35,45];Marie;ouvrier;2
O;O;O;N;N;O;O;N;O;N;N;N;N;N;N;N;N;3;F;(25,35];Marie;agent de ma?trise;7
O;O;N;N;N;N;N;N;O;N;N;N;N;O;N;O;N;4;F;(55,65];Veuf;autre;6
O;O;O;N;O;N;N;N;N;N;N;N;N;N;N;O;N;3;M;(25,35];Seul;ouvrier;6
N;O;N;N;N;N;N;N;N;N;N;O;N;N;O;O;N;2;F;(85,100];Veuf;agent de ma?trise;5
N;O;N;N;N;N;N;N;N;N;N;N;O;O;N;O;N;4;M;(55,65];Marie;ouvrier;5
N;O;N;N;N;O;N;N;N;N;O;O;O;N;N;O;N;2;M;(45,55];Marie;agent de ma?trise;7
O;O;O;O;N;O;O;O;O;N;N;O;O;O;N;O;N;2;M;(35,45];Marie;cadre;13
O;O;O;O;O;O;O;O;O;N;N;N;N;O;N;O;N;2;M;(25,35];Marie;cadre;12
O;O;N;N;N;O;N;N;O;N;N;N;O;O;N;N;N;2;M;(35,45];Marie;ouvrier;7
N;N;N;N;N;N;N;O;N;N;N;N;O;N;N;O;O;0;M;(45,55];Marie;ouvrier;4
N;N;N;N;N;N;O;N;O;N;N;N;O;O;N;O;N;3;M;(55,65];Marie;manoeuvre;6
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;2;M;(85,100];Marie;manoeuvre;1
O;O;O;N;O;N;N;O;O;N;N;N;O;O;N;N;N;2;M;(55,65];Marie;employe;9
O;N;N;O;N;O;O;N;O;N;O;N;O;O;N;N;N;1;M;(55,65];Divorce;cadre;9
O;O;N;O;O;O;N;N;O;N;N;O;O;O;N;O;N;1;F;(45,55];Marie;employe;11
O;O;N;O;O;N;N;N;O;N;N;O;N;O;O;O;N;1;F;(65,75];Marie;NA;10
O;O;N;N;N;O;O;N;N;N;N;N;O;N;N;N;N;2;M;(45,55];reMarie;agent de ma?trise;6
O;O;O;N;O;O;O;O;O;O;O;N;O;O;O;O;N;4;F;(35,45];Divorce;cadre;15
N;O;O;N;N;N;N;N;N;N;O;N;N;N;N;N;N;2;M;(25,35];Seul;employe;4
O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;3;M;(65,75];Marie;NA;2
N;O;O;N;N;N;N;N;O;N;N;N;O;O;N;N;N;2;F;(45,55];Marie;employe;6
O;O;N;N;N;O;O;O;O;N;N;N;O;N;N;N;N;2;M;(45,55];Marie;cadre;8
O;N;N;N;N;N;N;N;O;N;N;N;N;O;O;N;N;2;F;(75,85];Veuf;ouvrier;5
N;O;O;O;N;O;O;N;O;N;N;N;O;N;O;O;N;1;F;(25,35];Seul;manoeuvre;10
N;N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;4;F;(65,75];Marie;employe;2
O;O;N;N;O;O;O;O;O;N;O;N;O;O;O;O;N;1;F;(55,65];Marie;cadre;13
O;O;N;N;N;N;O;O;O;O;N;N;N;O;N;N;N;2;F;(55,65];Marie;ouvrier;8
O;O;N;N;N;O;O;N;O;N;N;N;N;N;N;N;N;1;M;(35,45];Marie;cadre;6
N;O;N;N;N;N;N;O;N;N;N;N;N;N;N;O;N;2;F;(25,35];Marie;manoeuvre;4
N;N;O;N;O;O;N;N;O;N;N;O;O;O;N;O;N;3;M;(35,45];Seul;agent de ma?trise;9
O;O;O;O;O;O;O;N;O;O;N;N;O;O;N;O;N;1;F;(25,35];Marie;cadre;13
N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;O;O;4;M;(35,45];Seul;manoeuvre;4
N;N;O;N;N;O;N;N;N;N;N;N;N;N;N;N;N;4;M;[15,25];Seul;NA;3
